time,PM1(ug/m3),PM10(ug/m3),PM2.5(ug/m3),RH(%),T(C)
2021-01-01 00:00:48.487000060,0.7559999999999999,0.895,0.894,43.1,16.8
2021-01-01 00:00:49.863000060,0.7340000000000001,0.909,0.908,43.2,16.8
2021-01-01 00:00:51.235000060,0.223,0.23,0.23,43.2,16.8
2021-01-01 00:00:52.616000000,0.708,12.34,3.303,43.3,16.8
2021-01-01 00:00:53.992000000,0.292,0.299,0.299,43.3,16.8
2021-01-01 00:00:55.368000000,0.465,0.574,0.573,43.3,16.8
2021-01-01 00:00:56.744000000,0.375,0.39,0.39,43.2,16.8
2021-01-01 00:00:58.120999940,0.708,1.279,1.254,43.2,16.8
2021-01-01 00:00:59.492000000,0.201,0.207,0.207,43.2,16.8
2021-01-01 00:01:48.436999940,0.8009999999999999,1.443,1.416,42.6,16.8
2021-01-01 00:01:49.812999940,0.7829999999999999,0.958,0.957,42.7,16.8
2021-01-01 00:01:51.188999940,0.39,11.765999999999998,2.7230000000000003,42.7,16.8
2021-01-01 00:01:52.569999870,0.573,0.687,0.6859999999999999,42.8,16.8
2021-01-01 00:01:53.945999870,0.497,0.61,0.609,42.8,16.8
2021-01-01 00:01:55.323000060,0.916,2.084,1.97,42.8,16.8
2021-01-01 00:01:56.697999870,0.723,0.857,0.856,42.9,16.8
2021-01-01 00:01:58.078000130,0.4539999999999999,2.767,2.065,42.9,16.8
2021-01-01 00:01:59.455000060,0.643,0.769,0.768,42.9,16.8
2021-01-01 00:02:48.388000000,0.6990000000000001,2.625,2.39,42.7,16.8
2021-01-01 00:02:49.760000000,0.875,2.7030000000000003,2.4930000000000003,42.7,16.8
2021-01-01 00:03:49.713999870,0.422,0.495,0.494,42.5,16.8
2021-01-01 00:03:51.089999870,0.547,2.278,2.066,42.4,16.8
2021-01-01 00:03:52.470000130,0.91,3.023,2.795,42.4,16.8
2021-01-01 00:03:53.847000060,0.476,1.352,1.244,42.3,16.8
2021-01-01 00:03:55.219000060,0.356,0.42,0.419,42.4,16.8
2021-01-01 00:03:56.595000060,0.529,6.817,3.67,42.3,16.8
2021-01-01 00:03:57.971000060,0.412,0.476,0.476,42.3,16.8
2021-01-01 00:03:59.347000060,0.361,0.427,0.427,42.3,16.8
2021-01-01 00:04:48.291000060,0.86,1.88,1.764,42.2,16.8
2021-01-01 00:04:49.664000000,0.25,0.26,0.26,42.2,16.8
2021-01-01 00:04:51.040000000,0.649,0.775,0.774,42.2,16.8
2021-01-01 00:04:52.416000000,0.914,2.918,2.7060000000000004,42.2,16.8
2021-01-01 00:04:53.792999940,0.5589999999999999,0.621,0.62,42.2,16.8
2021-01-01 00:04:55.168999940,0.56,0.5870000000000001,0.5870000000000001,42.2,16.8
2021-01-01 00:04:56.544999940,0.505,0.794,0.782,42.1,16.8
2021-01-01 00:04:57.920999940,0.605,3.07,2.408,42.1,16.8
2021-01-01 00:04:59.296999940,0.397,0.408,0.408,42.0,16.8
2021-01-01 00:05:48.241999870,0.765,4.944,3.997,42.1,16.8
2021-01-01 00:05:49.617999870,0.942,1.65,1.625,42.2,16.8
2021-01-01 00:05:50.993999870,0.486,0.5539999999999999,0.5539999999999999,42.3,16.8
2021-01-01 00:05:52.371000060,0.873,2.546,2.349,42.3,16.8
2021-01-01 00:05:53.747000060,0.465,0.579,0.578,42.4,16.8
2021-01-01 00:05:55.124000000,0.573,0.638,0.638,42.5,16.8
2021-01-01 00:05:56.503000060,0.451,0.46,0.46,42.4,16.8
2021-01-01 00:05:57.880000000,0.546,0.6629999999999999,0.662,42.5,16.8
2021-01-01 00:05:59.256000000,0.376,0.384,0.384,42.6,16.8
2021-01-01 00:06:48.196000000,0.431,0.447,0.447,42.9,16.8
2021-01-01 00:06:49.568000000,0.7859999999999999,0.962,0.961,43.1,16.8
2021-01-01 00:06:50.948999940,0.466,0.49,0.49,43.3,16.8
2021-01-01 00:06:52.324999940,0.889,2.032,1.917,43.5,16.7
2021-01-01 00:06:53.700999940,0.377,2.5860000000000003,1.914,43.6,16.7
2021-01-01 00:06:55.078000130,0.3829999999999999,12.105,2.786,43.7,16.7
2021-01-01 00:06:56.454000130,0.594,3.653,2.875,43.8,16.8
2021-01-01 00:06:57.833999870,0.631,2.908,2.234,43.9,16.8
2021-01-01 00:06:59.209999870,0.574,3.62,2.844,44.0,16.7
2021-01-01 00:07:48.147000060,0.614,1.016,1.001,43.6,16.8
2021-01-01 00:07:49.523000060,0.821,26.673,2.902,43.8,16.8
2021-01-01 00:07:50.897999870,0.258,0.261,0.261,44.0,16.7
2021-01-01 00:07:52.271000060,0.298,0.301,0.301,44.2,16.7
2021-01-01 00:07:53.652000000,0.36,0.372,0.372,44.3,16.7
2021-01-01 00:07:55.027000060,0.759,1.6909999999999998,1.585,44.4,16.7
2021-01-01 00:07:56.404000000,0.48,0.547,0.547,44.5,16.7
2021-01-01 00:07:57.780000000,0.409,1.258,1.155,44.6,16.8
2021-01-01 00:07:59.156000000,0.3989999999999999,0.418,0.418,44.6,16.7
2021-01-01 00:08:48.096999940,0.547,0.627,0.627,43.8,16.7
2021-01-01 00:08:49.472999940,0.8370000000000001,2.894,2.6710000000000003,43.9,16.7
2021-01-01 00:08:50.848999940,0.462,0.53,0.53,43.9,16.7
2021-01-01 00:08:52.224999940,0.344,0.355,0.355,44.1,16.7
2021-01-01 00:08:53.601999870,0.516,1.379,1.273,44.2,16.7
2021-01-01 00:08:54.976999940,0.63,1.543,1.439,44.2,16.7
2021-01-01 00:08:56.353999870,0.426,0.439,0.439,44.3,16.7
2021-01-01 00:08:57.729999870,1.082,2.693,2.5610000000000004,44.5,16.7
2021-01-01 00:08:59.105999870,0.619,0.6970000000000001,0.696,44.6,16.7
2021-01-01 00:09:48.051000060,1.077,4.1080000000000005,3.738,44.2,16.8
2021-01-01 00:09:49.431000060,0.56,13.493,3.484,44.3,16.7
2021-01-01 00:09:50.804000000,0.294,0.305,0.305,44.4,16.8
2021-01-01 00:09:52.184000000,0.7759999999999999,6.689,3.448,44.5,16.7
2021-01-01 00:09:53.556000000,0.561,3.899,3.05,44.5,16.7
2021-01-01 00:09:54.931000060,0.239,0.242,0.242,44.6,16.7
2021-01-01 00:09:56.308000000,0.7170000000000001,2.017,1.89,44.7,16.8
2021-01-01 00:09:57.680999940,0.539,2.371,2.146,44.8,16.7
2021-01-01 00:09:59.056999940,0.408,1.35,1.235,44.8,16.7
2021-01-01 00:10:48.000999940,0.327,0.34,0.34,44.3,16.8
2021-01-01 00:10:49.376999940,0.708,1.778,1.661,44.5,16.8
2021-01-01 00:11:49.332000000,0.419,0.435,0.435,44.6,16.8
2021-01-01 00:11:50.707000060,0.281,13.148,2.914,44.6,16.7
2021-01-01 00:11:52.083000060,0.31,0.318,0.318,44.6,16.7
2021-01-01 00:11:53.464000000,0.475,2.892,2.1590000000000003,44.6,16.7
2021-01-01 00:11:54.840000000,0.6609999999999999,0.742,0.742,44.6,16.7
2021-01-01 00:11:56.212000000,0.708,0.8370000000000001,0.835,44.6,16.8
2021-01-01 00:11:57.588999940,0.925,1.661,1.633,44.6,16.7
2021-01-01 00:11:58.964000000,0.5429999999999999,1.474,1.361,44.5,16.7
2021-01-01 00:12:47.905999870,0.84,3.545,2.728,44.5,16.8
2021-01-01 00:12:49.281999870,0.4379999999999999,0.507,0.507,44.5,16.7
2021-01-01 00:12:50.657999870,0.8009999999999999,1.766,1.656,44.7,16.7
2021-01-01 00:12:52.033999870,0.946,1.146,1.144,44.8,16.7
2021-01-01 00:12:53.409999870,1.394,2.658,2.537,44.9,16.7
2021-01-01 00:12:54.785999870,0.557,0.62,0.619,45.0,16.7
2021-01-01 00:12:56.167000060,0.581,6.42,3.302,45.1,16.7
2021-01-01 00:12:57.543000060,0.7440000000000001,0.877,0.8759999999999999,45.1,16.7
2021-01-01 00:12:58.919000060,0.797,1.227,1.213,45.1,16.7
2021-01-01 00:13:47.860000000,0.748,0.887,0.8859999999999999,44.3,16.8
2021-01-01 00:13:49.236000000,0.5529999999999999,0.574,0.574,44.2,16.7
2021-01-01 00:13:50.612999940,1.179,1.946,1.919,44.1,16.7
2021-01-01 00:13:51.988000000,0.569,0.643,0.643,44.0,16.7
2021-01-01 00:13:53.364999940,0.629,0.941,0.928,44.0,16.7
2021-01-01 00:13:54.744999940,0.7440000000000001,1.666,1.561,43.9,16.7
2021-01-01 00:13:56.120999940,0.8220000000000001,1.764,1.656,43.9,16.7
2021-01-01 00:13:57.496999940,0.773,0.855,0.855,43.9,16.7
2021-01-01 00:13:58.873999870,0.644,0.6629999999999999,0.6629999999999999,43.9,16.8
2021-01-01 00:14:47.809999870,0.474,0.488,0.488,44.3,16.8
2021-01-01 00:14:49.182000130,0.742,1.6880000000000002,1.579,44.5,16.8
2021-01-01 00:14:50.566000130,0.597,15.699000000000002,4.862,44.6,16.7
2021-01-01 00:14:51.942000130,0.629,6.394,3.2,44.7,16.8
2021-01-01 00:14:53.319000060,0.479,0.547,0.546,44.8,16.8
2021-01-01 00:14:54.695000060,0.3939999999999999,0.402,0.402,44.9,16.7
2021-01-01 00:14:56.071000060,0.991,2.195,2.074,44.9,16.7
2021-01-01 00:14:57.447000060,1.013,5.97,4.94,45.0,16.8
2021-01-01 00:14:58.824000000,0.636,0.764,0.762,45.1,16.8
2021-01-01 00:15:47.760000000,0.848,0.883,0.883,44.6,16.8
2021-01-01 00:15:49.140999940,0.855,4.038,3.244,44.7,16.8
2021-01-01 00:15:50.516000000,0.452,0.4639999999999999,0.4639999999999999,44.7,16.8
2021-01-01 00:15:51.892999940,0.78,3.167,2.478,44.8,16.7
2021-01-01 00:15:53.268999940,0.493,2.741,2.0580000000000003,44.9,16.7
2021-01-01 00:15:54.648999940,0.898,32.667,5.747000000000001,44.9,16.7
2021-01-01 00:15:56.024999940,0.784,0.917,0.916,44.9,16.7
2021-01-01 00:15:57.396999940,0.303,0.31,0.31,44.9,16.7
2021-01-01 00:15:58.774000130,0.6559999999999999,0.953,0.941,44.9,16.7
2021-01-01 00:16:47.715000060,0.878,6.959,3.5610000000000004,44.7,16.8
2021-01-01 00:16:49.089999870,0.899,7.447999999999999,4.33,44.8,16.8
2021-01-01 00:16:50.465999870,1.169,2.945,2.742,44.9,16.7
2021-01-01 00:16:51.846000130,0.452,0.4639999999999999,0.4639999999999999,45.0,16.7
2021-01-01 00:16:53.223000060,0.5660000000000001,6.062,3.128,45.0,16.7
2021-01-01 00:16:54.599000060,0.716,2.95,2.289,45.0,16.7
2021-01-01 00:16:55.975000060,0.633,0.7,0.6990000000000001,45.0,16.7
2021-01-01 00:16:57.351000060,0.7809999999999999,1.932,1.82,45.0,16.7
2021-01-01 00:16:58.728000000,0.812,1.119,1.106,45.1,16.7
2021-01-01 00:17:47.664000000,1.085,7.277,3.984,44.6,16.7
2021-01-01 00:17:49.040999940,0.456,0.518,0.517,44.7,16.7
2021-01-01 00:17:50.416999940,1.51,4.292,3.982,44.6,16.7
2021-01-01 00:17:51.792999940,0.532,0.599,0.598,44.6,16.7
2021-01-01 00:17:53.168999940,0.48,0.7559999999999999,0.7440000000000001,44.6,16.7
2021-01-01 00:17:54.548999940,0.6609999999999999,1.51,1.413,44.6,16.7
2021-01-01 00:17:55.924999940,0.8490000000000001,1.022,1.02,44.5,16.7
2021-01-01 00:17:57.300999940,0.784,0.807,0.807,44.5,16.7
2021-01-01 00:17:58.680999940,0.945,17.56,5.774,44.4,16.7
2021-01-01 00:18:47.617999870,0.922,0.96,0.96,44.3,16.7
2021-01-01 00:18:48.993999870,1.169,7.281000000000001,4.283,44.4,16.7
2021-01-01 00:19:48.944000000,0.8540000000000001,0.984,0.983,44.4,16.7
2021-01-01 00:19:50.320000000,0.92,2.068,1.956,44.5,16.7
2021-01-01 00:19:51.696999940,0.754,1.046,1.033,44.5,16.6
2021-01-01 00:19:53.072000000,1.12,1.255,1.254,44.6,16.6
2021-01-01 00:19:54.448999940,0.835,1.136,1.124,44.7,16.6
2021-01-01 00:19:55.824999940,1.26,2.724,2.6010000000000004,44.7,16.7
2021-01-01 00:19:57.204999940,1.06,1.5219999999999998,1.508,44.6,16.7
2021-01-01 00:19:58.582000130,1.109,6.438,3.5460000000000003,44.5,16.6
2021-01-01 00:20:47.521999870,1.269,2.314,2.196,44.3,16.6
2021-01-01 00:20:48.897999870,0.83,0.906,0.905,44.3,16.6
2021-01-01 00:20:50.275000060,0.765,0.8420000000000001,0.8420000000000001,44.4,16.6
2021-01-01 00:20:51.651000060,1.141,1.278,1.277,44.4,16.6
2021-01-01 00:20:53.027000060,1.139,2.096,1.995,44.4,16.6
2021-01-01 00:20:54.403000060,0.8809999999999999,1.754,1.655,44.5,16.6
2021-01-01 00:20:55.780000000,0.974,1.152,1.151,44.5,16.6
2021-01-01 00:20:57.155000060,0.562,0.625,0.624,44.5,16.6
2021-01-01 00:20:58.531000060,1.219,4.155,3.426,44.5,16.6
2021-01-01 00:21:47.472000000,1.399,2.677,2.5540000000000003,44.4,16.6
2021-01-01 00:21:48.848999940,0.947,1.3330000000000002,1.32,44.4,16.6
2021-01-01 00:21:50.228000000,0.608,0.622,0.622,44.5,16.6
2021-01-01 00:21:51.604999940,0.711,5.825,3.018,44.5,16.6
2021-01-01 00:21:52.980999940,0.71,0.725,0.725,44.6,16.6
2021-01-01 00:21:54.356999940,0.741,0.757,0.757,44.7,16.6
2021-01-01 00:21:55.734000130,1.224,2.107,2.008,44.7,16.6
2021-01-01 00:21:57.108999940,1.226,3.712,3.039,44.7,16.5
2021-01-01 00:21:58.484999940,1.107,2.076,1.972,44.8,16.6
2021-01-01 00:22:47.422000130,1.114,3.011,2.781,44.7,16.6
2021-01-01 00:22:48.798000130,0.723,0.789,0.789,44.8,16.5
2021-01-01 00:22:50.177999870,1.508,3.0460000000000003,2.914,44.9,16.5
2021-01-01 00:22:51.555000060,1.858,5.9910000000000005,5.119,45.1,16.5
2021-01-01 00:22:52.931000060,1.293,2.2840000000000003,2.173,45.2,16.6
2021-01-01 00:22:54.307000060,1.081,1.116,1.116,45.4,16.5
2021-01-01 00:22:55.687000060,0.8290000000000001,11.258,6.655,45.4,16.5
2021-01-01 00:22:57.064000000,0.735,0.758,0.758,45.5,16.5
2021-01-01 00:22:58.440000000,0.6990000000000001,0.7190000000000001,0.7190000000000001,45.6,16.5
2021-01-01 00:23:47.376000000,1.122,1.157,1.157,45.1,16.5
2021-01-01 00:23:48.752000000,1.085,2.185,2.072,45.2,16.5
2021-01-01 00:23:50.128999940,0.868,0.949,0.948,45.2,16.5

